 ,,,,,,,,January ,,,,,,,February,,,,,,,,,,March ,,,,,,,,,,April ,,,,,,,,,May,,,,,,,,,June,,,,,,,,July,,,,,,,,August,,,,,,,,,September,,,,,,,,,,,,October,,,,,,,,,November,,,,,,,,December,,,,,,,,,
STA,Saturday Fitness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mark ( elite ) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greens Only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Atp/Wta,,,,,,,,,,,Australian Open,,Australian Open,,,,,,Rotterdam 500,,,,,,Indian Wells 1000,Indian Wells 1000,Indian Wells 1000,Indian Wells 1000,Miami 1000,Miami 1000,Miami 1000,Miami 1000,,,,,,,Madrid 1000,madrid 1000,Madrid 1000,Madrid 1000,Rome 1000,Rome 1000,Rome 1000,Rome 1000,,,Roland Garros,Roland Garros,Roland Garros,Roland Garros,,,Queens 500,Queens 500,,,Wimbledon,Wimbledon,Wimbledon,Wimbledon,,,,,,,Toronto 1000,,Cincinnati 1000,,,,US Open ,US Open ,US Open ,US Open ,US OPEN DK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International ,Challenger Tour,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ITF Pro ,,,,,,1,,,,,Austria g4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malaga 15K ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,,,Istanbul g3 ,,Glasgow g3,,,,Manacor J4 ITF,,Manacor J3 ITF,,Liverpool J5 ITF,,Austria g3 ,,,,,,,,Turkey g4 itf ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ITF Junior U18,,,,,,1,,,Traralgon J1,,,Aus Open GA,Kenya J4 ITF,,Kenya J4 ITF,,Kenya J5 ITF,,Poland J4 ITF,,Poland J4 ITF,,Norway g4 itf ,,,,,,,,Alicante J4 ITF,,,,,,,,,,Girona J5 ITF,,Tarragona J60 ITF,,,,,,,,,,,,,,,,,,Holland J60,,Holland J60,,,,,,,,,,,,,,,,,,Estepona J60,,ESTEPONA J60 JOE D,,,,PORTIMAO J30 TOM P & JOE D,,,,,,,,,,KENITRA (MOROCCO),,OUJDA (MOROCCO),,,,ZIMBABWE JOE D,,,ZIMBABWE JOE D,,,,,,,,,
,,,,,,,2,,,,,,,Slovenia J4 ITF,,Slovenia J5 ITF,,Liverpool J5 ITF,,Egypt J1 ITF,,Netherlands J5 ITF,,Netherlands J3 ITF,,Norway J30  itf ,,Cyprus g3 ,,Cyprus g4 ,,,,,,,,,,,,,,,,,,Valles g60 ,,Edinburgh J60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3,,,,,Austria J4 ITF,,Austria J4 ITF,,,,,,Dublin J5 ITF,,Egypt JA ITF,,Slovakia J3 ITF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TE  16,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TE  14,,,,,,1,Belgrade G3,,,,,,,,,,,,Dublin G3,,,,,,,,,,,,,,,,Tirana G3,,Tirana G3,,,,,,,,,,,,,,Portugal TE 3,,Portugal TE 3,,,,,,,,,TE Dublin ,,,,,Germany TE,,Germany TE,,,,,,,,,,,,,,,,MARBELLA CAT 3 TOM P,,,,,,,,,,,,,Liverpool,,,,,,,,,MALLORCA TOM P,,,,,,,,
,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TE  12,,,,,,1,,,,,,,,,,,,,,,Auray G1 ,,,,Portugal ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Croatia TE 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Other (ten pro,...)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week Commencing/Weekend Dates ,,,,,,,,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend ,Week,Weekend 
Date,,,,,,,,2-Jan,7th-8th,9-Jan,14th-15th,16-Jan,21st-22nd,23-Jan,28th-29th,30-Jan,4th-5th,6-Feb,11th-12th,13-Feb,18th-19th,20-Feb,25th-26th,27-Feb,4th-5th,6-Mar,11th-12th,13-Mar,18th-19th,20-Mar,25th-26th,27-Mar,1st-2nd,3-Apr,8th-9th,10-Apr,15th-16th,17-Apr,22nd-23rd,24-Apr,29th-30th,1-May,6th-7th,8-May,13th-14th ,15-May,20th-21st,22-May,27th-28th,29-May,3rd-4th,5-Jun,10th-11th,12-Jun,17th-18th,19-Jun,24th-25th,26-Jun,1st-2nd,3-Jul,8th-9th,10-Jul,15th-16th,17-Jul,22nd-23rd,24-Jul,29th-30th,31-Jul,5th-6th,7-Aug,12th-13th,14-Aug,19th-20th,21-Aug,26th-27th,28-Aug,2nd-3rd,4-Sep,9th-10th,1-Sep,6th-7th,18-Sep,8-Sep,13th-14th,15-Sep,20th-21st,22-Sep,27th-28th,29-Sep,4th-5th,6-Oct,11th-12th,13-Oct,18th-19th,20-Oct,25th-26th,27-Oct,1st-2nd,3-Nov,8th-9th,10-Nov,15th-16th,17-Nov,22nd-23rd,24-Nov,29th-30th,1-Dec,6th-7th,8-Dec,13th-14th,15-Dec,20th-21st,22-Dec,27th-28th,29-Dec,3rd-4th
,Entry Date ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External Invite UTR event,,,,,,,,,,,,,,,
Regional / Nationals,Absoluto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,U18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andalucia Champs Cádiz,Andalucia Champs Cádiz,,,,,,,Andalucia Champs,Andalucia Champs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,U16,,,,,,,,,,,,,,,,,,,,,,,Andalucia Champs Cádiz ,Andalucia Champs Cádiz ,,,,,,,Andalucia Champs,Andalucia Champs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,U14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andalucia Champs Cádiz,Andalucia Champs Cádiz,,,,,,,,,,,,,,,Andalucia Champs,Andalucia Champs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,U12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andalucia Champs Cádiz,Andalucia Champs Cádiz,,,,,,,Andalucia Champs,Andalucia Champs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,U10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBP,Men,,,,,,,,,,,,,,,,,,,,,,,,,Jerez IBP ,Jerez,,,,,,,Lew Hoad,,,,,,,,,,,,,,,,,,IBP Candado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Men 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linares IBP,,,,,,,,,,,,IBP Granada,,,,IBP Cordoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IBP Sevilla,,,,IBP Sevilla,,,,,,,,,,,,,,,,,,,
,Junior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fitness Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LA BAROSSA U10-U18 TOM P,,,,NAZARET SERGIO,,,,,,GRANADA U10-U18 TOM P,,,HUELVA JOE D,,,,,,,,,,,,,,,,,,,
,Junior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
